iter	Logloss
0	0.6860334131
1	0.6795089433
2	0.675030803
3	0.668786489
4	0.6636968805
5	0.6578983765
6	0.6516299429
7	0.6475818155
8	0.64205397
9	0.6364601691
10	0.6313913561
11	0.6245378856
12	0.6213028246
13	0.6161930215
14	0.6123426481
15	0.6077711068
16	0.602960787
17	0.5978145927
18	0.5939003309
19	0.5894407174
20	0.5869655076
21	0.5823811983
22	0.5775455389
23	0.5743090901
24	0.5694681776
25	0.5644054301
26	0.5605353074
27	0.5570271109
28	0.5548371924
29	0.550302762
30	0.5474880412
31	0.5437688532
32	0.5420718472
33	0.5385916026
34	0.5355593797
35	0.5323656247
36	0.5285869439
37	0.5258984
38	0.5219320831
39	0.5176973372
40	0.5148588592
41	0.5131935163
42	0.5107587267
43	0.5083541523
44	0.5056522844
45	0.5036542889
46	0.5011302328
47	0.4994607582
48	0.4977993299
49	0.494988265
50	0.4930718387
51	0.4909175301
52	0.4889228824
53	0.4864831005
54	0.4845933594
55	0.4823413425
56	0.4813311498
57	0.4790866723
58	0.4759968316
59	0.47349952
60	0.4706626563
61	0.4680015279
62	0.4672167467
63	0.4659082609
64	0.4640549644
65	0.4626428268
66	0.461053288
67	0.4587612686
68	0.4564794482
69	0.4547995298
70	0.4534186573
71	0.4510388814
72	0.4489349765
73	0.4473108427
74	0.4456109964
75	0.4444509501
76	0.4437873487
77	0.4425532523
78	0.4406004719
79	0.4396551115
80	0.4378762143
81	0.4357502012
82	0.4338568196
83	0.4326513254
84	0.4314085115
85	0.430035801
86	0.4284125789
87	0.4269397177
88	0.4260614237
89	0.4245665858
90	0.4230850548
91	0.4215570603
92	0.4200851689
93	0.4188300479
94	0.4176376225
95	0.416188905
96	0.4149911515
97	0.4136107624
98	0.4120813869
99	0.4104445444
100	0.4088481614
101	0.4078937283
102	0.4070571427
103	0.4059505211
104	0.4047754323
105	0.4034341476
106	0.4024390102
107	0.4011469
108	0.3999334921
109	0.3985035774
110	0.3973430194
111	0.3956808774
112	0.3946194358
113	0.3940789857
114	0.393540625
115	0.3925337702
116	0.391961795
117	0.3910900119
118	0.39037685
119	0.390009208
120	0.3889103583
121	0.387993423
122	0.3868251803
123	0.3858415099
124	0.3853324303
125	0.3849808506
126	0.3842220812
127	0.3832607104
128	0.3825540831
129	0.381929882
130	0.3810867854
131	0.380326255
132	0.3795197039
133	0.3789613542
134	0.3787393116
135	0.3784266997
136	0.3776061284
137	0.3773601079
138	0.3765632947
139	0.3762238435
140	0.375796846
141	0.3751323781
142	0.3746973621
143	0.37428808
144	0.3735243257
145	0.3729549127
146	0.3724304709
147	0.3718718788
148	0.3711047634
149	0.3702740199
150	0.3698626705
151	0.3692904888
152	0.3685084893
153	0.3680820852
154	0.3673450409
155	0.3667194944
156	0.3663583551
157	0.3659621196
158	0.365487671
159	0.3650659053
160	0.365065118
161	0.3645782834
162	0.3637560256
163	0.3633081624
164	0.3628414381
165	0.3623214415
166	0.3617818085
167	0.3611513165
168	0.3609746743
169	0.36023969
170	0.3600295775
171	0.3600286796
172	0.3596533967
173	0.359277932
174	0.3589891357
175	0.3587883909
176	0.3583204208
177	0.358076631
178	0.3577245718
179	0.3573247562
180	0.3567469135
181	0.3562378218
182	0.3559302072
183	0.3557848477
184	0.3550797689
185	0.3545040127
186	0.3541831007
187	0.3536339143
188	0.3535027053
189	0.3528319156
190	0.3525225136
191	0.3522110249
192	0.3518019364
193	0.351506865
194	0.3511151983
195	0.3507609081
196	0.3502352931
197	0.3499347899
198	0.3497796772
199	0.3492497031
200	0.3488316516
201	0.3485756839
202	0.3481141029
203	0.3477839233
204	0.3473672773
205	0.3468980026
206	0.3462170202
207	0.3457135454
208	0.3455852943
209	0.3452880379
210	0.3450599644
211	0.344559916
212	0.3444972616
213	0.3439179357
214	0.3439099058
215	0.3435893872
216	0.3431875511
217	0.3427430638
218	0.3425675207
219	0.3421281862
220	0.3418977429
221	0.341591238
222	0.3410789498
223	0.3407732535
224	0.3403262168
225	0.3402497592
226	0.3400156584
227	0.3398146238
228	0.3393689324
229	0.339006417
230	0.3385794003
231	0.3380987078
232	0.3375477464
233	0.33723
234	0.3369979846
235	0.3367468809
236	0.336275892
237	0.3359018185
238	0.3355343088
239	0.3352628311
240	0.3348191142
241	0.3346690404
242	0.334312824
243	0.3338519627
244	0.3337304831
245	0.3335033832
246	0.333131256
247	0.3328474946
248	0.3322588982
249	0.3319560658
250	0.331718106
251	0.3314788361
252	0.3312773121
253	0.3309582091
254	0.3308118912
255	0.3307913613
256	0.3304410332
257	0.3301842538
258	0.3298146996
259	0.3295297865
260	0.3294605966
261	0.3293981312
262	0.328706836
263	0.3283737764
264	0.3282253965
265	0.3279194727
266	0.327813631
267	0.3276214289
268	0.3273125709
269	0.3270374086
270	0.3268283895
271	0.3264541523
272	0.3262608604
273	0.3258965029
274	0.32581689
275	0.3255473572
276	0.3251979121
277	0.3249234617
278	0.3246507971
279	0.3243462171
280	0.3240056542
