iter	Logloss
281	0.323821118
282	0.3235350483
283	0.3232375671
284	0.3230206098
285	0.3225646898
286	0.3224928678
287	0.3221531143
288	0.3220335308
289	0.3219265331
290	0.3216543541
291	0.3213445627
292	0.3212156876
293	0.3208801174
294	0.3207123647
295	0.3206054894
296	0.3204106106
297	0.3202198913
298	0.3201283067
299	0.3197127966
300	0.3194874983
301	0.3192620869
302	0.3191686501
303	0.3190146285
304	0.3186993705
305	0.3185667578
306	0.3184965441
307	0.3183497114
308	0.318113481
309	0.3179639633
310	0.3178529896
311	0.3178528593
312	0.3176344957
313	0.3173830212
314	0.3172858812
315	0.3169346922
316	0.3168528632
317	0.316659157
318	0.3164558138
319	0.3162326411
320	0.3161267435
321	0.3158696098
322	0.3157803833
323	0.3154942872
324	0.315430791
325	0.3148312448
326	0.3145975641
327	0.3145195085
328	0.3143985364
329	0.3143079785
330	0.3142158215
331	0.3140952722
332	0.3139995601
333	0.313898507
334	0.3137155125
335	0.3136188302
336	0.3135203689
337	0.3131784057
338	0.3128907044
339	0.3126331351
340	0.3123820987
341	0.3122869905
342	0.3121462551
343	0.311995556
344	0.3117904852
345	0.3116748283
346	0.311583214
347	0.3115343071
348	0.3114043306
349	0.3111628832
350	0.3109703398
351	0.3106834564
352	0.3105345049
353	0.3104572167
354	0.310288851
355	0.3100646494
356	0.3097285428
357	0.3095008169
358	0.3093697278
359	0.3091867195
360	0.3087717285
361	0.3086419871
362	0.3085492393
363	0.3084328256
364	0.3083331253
365	0.3082915573
366	0.308153554
367	0.3080109803
368	0.3078995712
369	0.3077586974
370	0.3074819614
371	0.3072514286
372	0.3070050617
373	0.3069263962
374	0.306711616
375	0.3066000308
376	0.3064788474
377	0.3062485832
378	0.3061454779
379	0.3059999217
380	0.3058228911
381	0.3058226709
382	0.3056974616
383	0.3055979192
384	0.3054777764
385	0.305295575
386	0.3049781913
387	0.3048432543
388	0.304705509
389	0.3045840981
390	0.304517451
391	0.3043869424
392	0.3043327832
393	0.3039706794
394	0.3039004335
395	0.3038453129
396	0.3036877482
397	0.3035339409
398	0.3032853899
399	0.3031702859
400	0.3030304866
401	0.3027607534
402	0.3026387344
403	0.3025687938
404	0.302469934
405	0.3023338841
406	0.3022240998
407	0.3021146399
408	0.3020360949
409	0.3018138176
410	0.3016035411
411	0.30135972
412	0.3013274668
413	0.3011367183
414	0.3009438001
415	0.3007125119
416	0.3006088871
417	0.300535055
418	0.3003121241
419	0.3002461396
420	0.3001111543
421	0.2999440903
422	0.2998470119
423	0.2997288703
424	0.2996118637
425	0.2993776635
426	0.2991694512
427	0.2989794477
428	0.2987740727
429	0.2987141524
430	0.298651131
431	0.2985765936
432	0.298498829
433	0.2982810657
434	0.2981283451
435	0.2980464858
436	0.2979671752
437	0.2977210021
438	0.2976084631
439	0.2974536898
440	0.2973371541
441	0.2972653682
442	0.2971713018
443	0.296990305
444	0.2968805741
445	0.296742853
446	0.2965381351
447	0.2963888651
448	0.2961997008
449	0.2960538331
450	0.2958783298
451	0.2958547544
452	0.2957716092
453	0.2955703769
454	0.2954118507
455	0.29527176
456	0.2951035696
457	0.2948634382
458	0.2947825452
459	0.2946468787
460	0.294597008
461	0.2943965179
462	0.2943049531
463	0.2941567943
464	0.2939960173
465	0.2938846353
466	0.2938499226
467	0.2937842653
468	0.2936807104
469	0.2934760693
470	0.2934241103
471	0.29326554
472	0.2929469232
473	0.2927341554
474	0.2926590342
475	0.2925770873
476	0.2925295049
477	0.292506352
478	0.2924531136
479	0.2923573704
480	0.2921881784
481	0.292067016
482	0.2919958929
483	0.291965465
484	0.2917325236
485	0.2916509185
486	0.2916250258
487	0.2915932255
488	0.2914487902
489	0.2913121859
490	0.2911840014
491	0.2910896485
492	0.291034351
493	0.2909891552
